"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005-01","Canada","2016A000011124","Persons","249","units","0","v1","1","32075011","","","","0"
"2005-04","Canada","2016A000011124","Persons","249","units","0","v1","1","32140569","","","","0"
"2005-07","Canada","2016A000011124","Persons","249","units","0","v1","1","32242732","","","","0"
"2005-10","Canada","2016A000011124","Persons","249","units","0","v1","1","32353311","","","","0"
"2006-01","Canada","2016A000011124","Persons","249","units","0","v1","1","32394909","","","","0"
"2006-04","Canada","2016A000011124","Persons","249","units","0","v1","1","32470171","","","","0"
"2006-07","Canada","2016A000011124","Persons","249","units","0","v1","1","32571193","","","","0"
"2006-10","Canada","2016A000011124","Persons","249","units","0","v1","1","32680839","","","","0"
"2007-01","Canada","2016A000011124","Persons","249","units","0","v1","1","32717848","","","","0"
"2007-04","Canada","2016A000011124","Persons","249","units","0","v1","1","32785964","","","","0"
"2007-07","Canada","2016A000011124","Persons","249","units","0","v1","1","32888886","","","","0"
"2007-10","Canada","2016A000011124","Persons","249","units","0","v1","1","33001918","","","","0"
"2008-01","Canada","2016A000011124","Persons","249","units","0","v1","1","33050262","","","","0"
"2008-04","Canada","2016A000011124","Persons","249","units","0","v1","1","33127394","","","","0"
"2008-07","Canada","2016A000011124","Persons","249","units","0","v1","1","33247298","","","","0"
"2008-10","Canada","2016A000011124","Persons","249","units","0","v1","1","33372978","","","","0"
"2009-01","Canada","2016A000011124","Persons","249","units","0","v1","1","33427754","","","","0"
"2009-04","Canada","2016A000011124","Persons","249","units","0","v1","1","33512305","","","","0"
"2009-07","Canada","2016A000011124","Persons","249","units","0","v1","1","33630069","","","","0"
"2009-10","Canada","2016A000011124","Persons","249","units","0","v1","1","33758581","","","","0"
"2010-01","Canada","2016A000011124","Persons","249","units","0","v1","1","33809016","","","","0"
"2010-04","Canada","2016A000011124","Persons","249","units","0","v1","1","33890461","","","","0"
"2010-07","Canada","2016A000011124","Persons","249","units","0","v1","1","34005902","","","","0"
"2010-10","Canada","2016A000011124","Persons","249","units","0","v1","1","34132531","","","","0"
"2011-01","Canada","2016A000011124","Persons","249","units","0","v1","1","34166633","","","","0"
"2011-04","Canada","2016A000011124","Persons","249","units","0","v1","1","34230555","","","","0"
"2011-07","Canada","2016A000011124","Persons","249","units","0","v1","1","34339221","","","","0"
"2011-10","Canada","2016A000011124","Persons","249","units","0","v1","1","34457713","","","","0"
"2012-01","Canada","2016A000011124","Persons","249","units","0","v1","1","34516032","","","","0"
"2012-04","Canada","2016A000011124","Persons","249","units","0","v1","1","34592192","","","","0"
"2012-07","Canada","2016A000011124","Persons","249","units","0","v1","1","34713395","","","","0"
"2012-10","Canada","2016A000011124","Persons","249","units","0","v1","1","34834973","","","","0"
"2013-01","Canada","2016A000011124","Persons","249","units","0","v1","1","34881794","","","","0"
"2013-04","Canada","2016A000011124","Persons","249","units","0","v1","1","34956567","","","","0"
"2013-07","Canada","2016A000011124","Persons","249","units","0","v1","1","35080992","","","","0"
"2013-10","Canada","2016A000011124","Persons","249","units","0","v1","1","35209597","","","","0"
"2014-01","Canada","2016A000011124","Persons","249","units","0","v1","1","35247023","","","","0"
"2014-04","Canada","2016A000011124","Persons","249","units","0","v1","1","35320540","","","","0"
"2014-07","Canada","2016A000011124","Persons","249","units","0","v1","1","35434066","","","","0"
"2014-10","Canada","2016A000011124","Persons","249","units","0","v1","1","35555305","","","","0"
"2015-01","Canada","2016A000011124","Persons","249","units","0","v1","1","35571043","","","","0"
"2015-04","Canada","2016A000011124","Persons","249","units","0","v1","1","35606734","","","","0"
